0,0x0000,Ericsson Technology Licensing
1,0x0001,Nokia Mobile Phones
2,0x0002,Intel Corp.
3,0x0003,IBM Corp.
4,0x0004,Toshiba Corp.
5,0x0005,3Com
6,0x0006,Microsoft
7,0x0007,Lucent
8,0x0008,Motorola
9,0x0009,Infineon Technologies AG
10,0x000A,Cambridge Silicon Radio
11,0x000B,Silicon Wave
12,0x000C,Digianswer A/S
13,0x000D,Texas Instruments Inc.
14,0x000E,"Ceva, Inc. (formerly Parthus Technologies, Inc.)"
15,0x000F,Broadcom Corporation
16,0x0010,Mitel Semiconductor
17,0x0011,"Widcomm, Inc"
18,0x0012,"Zeevo, Inc."
19,0x0013,Atmel Corporation
20,0x0014,Mitsubishi Electric Corporation
21,0x0015,RTX Telecom A/S
22,0x0016,KC Technology Inc.
23,0x0017,NewLogic
24,0x0018,"Transilica, Inc."
25,0x0019,Rohde & Schwarz GmbH & Co. KG
26,0x001A,TTPCom Limited
27,0x001B,"Signia Technologies, Inc."
28,0x001C,Conexant Systems Inc.
29,0x001D,Qualcomm
30,0x001E,Inventel
31,0x001F,AVM Berlin
32,0x0020,"BandSpeed, Inc."
33,0x0021,Mansella Ltd
34,0x0022,NEC Corporation
35,0x0023,"WavePlus Technology Co., Ltd."
36,0x0024,Alcatel
37,0x0025,NXP Semiconductors (formerly Philips Semiconductors)
38,0x0026,C Technologies
39,0x0027,Open Interface
40,0x0028,R F Micro Devices
41,0x0029,Hitachi Ltd
42,0x002A,"Symbol Technologies, Inc."
43,0x002B,Tenovis
44,0x002C,Macronix International Co. Ltd.
45,0x002D,GCT Semiconductor
46,0x002E,Norwood Systems
47,0x002F,MewTel Technology Inc.
48,0x0030,ST Microelectronics
49,0x0031,Synopsis
50,0x0032,Red-M (Communications) Ltd
51,0x0033,Commil Ltd
52,0x0034,Computer Access Technology Corporation (CATC)
53,0x0035,Eclipse (HQ Espana) S.L.
54,0x0036,Renesas Electronics Corporation
55,0x0037,Mobilian Corporation
56,0x0038,Terax
57,0x0039,Integrated System Solution Corp.
58,0x003A,"Matsushita Electric Industrial Co., Ltd."
59,0x003B,Gennum Corporation
60,0x003C,BlackBerry Limited (formerly Research In Motion)
61,0x003D,"IPextreme, Inc."
62,0x003E,"Systems and Chips, Inc."
63,0x003F,"Bluetooth SIG, Inc."
64,0x0040,Seiko Epson Corporation
